id,bairro,cep,cidade,cpf,data_nasc,email,endereco,estado,idade,mae,nome,numero,signo,tipo_sanguineo,
350,Anjo da Guarda,65085-294,Sao Luis,190.513.949-77,04/08/1952,manoelenricocampos_@tuds.com.br,1a Travessa Laranjeiras,MA,67,Emanuelly Vitoria Pietra ,Manoel Enrico Campos,971,Leao,AB+,
351,Bela Vista,69316-126,Boa Vista,961.897.532-05,17/08/1948,carloseduardoheitormendes_@mailinator.com,Rua Rio Solimoes,RR,71,Isabelle Antonella ,Carlos Eduardo Heitor Mendes,512,Leao,B-,
352,Jardim Flamboyant,79630-311,Tres Lagoas,425.606.244-00,23/07/1956,carlosrafaelsantos-81@lineubravo.com.br,Rua Custodio Andries - lado impar,MS,63,Marli Jaqueline Aline ,Carlos Rafael Santos,246,Leao,B-,
353,Capim Macio,59080-030,Natal,544.233.489-85,02/09/1960,pauloleandromarceloaragao__pauloleandromarceloaragao@moyageorges.com.br,Rua Doutor Jose Xavier da Cunha,RN,59,Clara Rosangela ,Paulo Leandro Marcelo Aragao,443,Virgem,AB+,
354,Torre,58040-182,Joao Pessoa,697.673.328-04,15/11/1976,ppedroedsonrodrigoramos@jammer.com.br,Vila Mesquita,PB,43,Eduarda Antonella ,Pedro Edson Rodrigo Ramos,612,Escorpiao,O-,
355,Tatuquara,81480-154,Curitiba,738.947.854-38,13/11/1979,danilothiagoyuridamata-81@torah.com.br,Rua Doutor Pedro Luiz Napoleao Chernoviz,PR,40,Benedita Betina Brenda ,Danilo Thiago Yuri da Mata,948,Escorpiao,AB-,
356,Vale da Prata,33825-602,Ribeirao das Neves,422.159.532-92,22/04/1952,hhenryraulguilhermebernardes@milimoveis.com.br,Beco das Taboas,MG,67,Louise Milena Sophia ,Henry Raul Guilherme Bernardes,541,Touro,O+,
357,Centro,57625-971,Estrela de Alagoas,541.848.818-07,25/10/1952,daviandersonmurilosantos__daviandersonmurilosantos@dpi.indl.com.br,Praca Luiz Duarte 78,AL,67,Jennifer Renata Sophie ,Davi Anderson Murilo Santos,864,Escorpiao,B-,
358,Benedito Bentes,57086-134,Maceio,856.757.448-00,26/10/1967,geraldoyagoduarte__geraldoyagoduarte@hospitalprovisao.org.br,Quadra D-G,AL,52,Sophia Marlene Gabriela ,Geraldo Yago Duarte,220,Escorpiao,AB+,
359,Ipiranga,26293-462,Nova Iguacu,520.106.311-02,20/11/1945,lluccaclaudiodaconceicao@mpeventos.com.br,Rua Coqueiro,RJ,74,Debora Marcela Giovanna ,Lucca Claudio da Conceicao,671,Escorpiao,O+,
360,Castelo Branco,58050-580,Joao Pessoa,779.563.552-06,25/09/1946,sseverinokaueteixeira@quintadoslagos.com.br,Rua Jose Serrano Navarro,PB,73,Elaine Marli Raimunda ,Severino Kaue Teixeira,283,Libra,B+,
361,Icarai,61620-302,Caucaia,853.556.257-54,02/09/1952,beniciosebastiaooliveira-94@corpoclinica.com.br,Rua Juaci Sampaio Pontes,CE,67,Isabela Beatriz ,Benicio Sebastiao Oliveira,696,Virgem,B+,
362,Paqueta,32639-602,Betim,310.546.344-59,08/08/1939,luccahugoraimundobarros_@hydropowermc.com.br,Rua Canavieira,MG,80,Claudia Hadassa ,Lucca Hugo Raimundo Barros,698,Leao,B+,
363,Jardim Marco Zero,68903-382,Macapa,610.880.025-95,23/09/1973,aandrehenriquecauaalves@jp.ind.br,Avenida Venus,AP,46,Luciana Jennifer ,Andre Henrique Caua Alves,460,Libra,AB-,
364,COHAB,51310-220,Recife,969.280.868-82,07/06/1967,eedsonmarcosviniciusrenanalves@eyejoy.com.br,Rua Arnaldo de Franca Caldas,PE,52,Debora Rosangela Tania ,Edson Marcos Vinicius Renan Alves,163,Gemeos,AB+,
365,Cavaleiro,54210-311,Jaboatao dos Guararapes,664.227.698-14,06/01/1978,osvaldomarcosdossantos-91@cordeiromaquinas.com.br,Travessa Paes de Andrade,PE,41,Luciana Ester Alana ,Osvaldo Marcos dos Santos,638,Capricornio,B-,
366,Ceilandia Norte (Ceilandia),72225-271,Brasilia,280.039.405-67,22/07/1996,levivictorryancosta-85@jci.com,Quadra QNN 27 Modulo A,DF,23,Pietra Tatiane Isabel ,Levi Victor Ryan Costa,488,Leao,AB+,
367,Jardim Maria Vindilina I,78553-018,Sinop,407.189.760-02,15/06/1996,ggiovanniarthurnelsonsilveira@rj.net,Rua Nicolau Flessak,MT,23,Isabella Esther ,Giovanni Arthur Nelson Silveira,816,Gemeos,A-,
368,Cauame,69311-054,Boa Vista,311.892.577-93,25/07/1996,henriquegabrielmonteiro__henriquegabrielmonteiro@technicolor.com,Rua Franca,RR,23,Rebeca Francisca ,Henrique Gabriel Monteiro,926,Leao,O+,
369,Vilinha,65915-546,Imperatriz,574.840.558-08,26/05/1957,claudiocaleberenatobarros_@corpus.com.br,Rua Sao Jose,MA,62,Maite Laura Silvana ,Claudio Calebe Renato Barros,333,Gemeos,B+,
370,Conjunto Manoel Juliao,69918-416,Rio Branco,344.435.290-55,27/10/1985,felipebrunosilva..felipebrunosilva@pobox.com,Rua Raimundo Escocio de Farias,AC,34,Lara Aline Isabelly ,Felipe Bruno Silva,744,Escorpiao,O+,
371,Jardim America,30421-447,Belo Horizonte,275.046.960-05,22/10/1983,brenonathanfogaca..brenonathanfogaca@acaocontabilsjc.com.br,Beco Antonio Marques,MG,36,Eloa Manuela ,Breno Nathan Fogaca,633,Libra,O-,
372,Residencial Capanema,35663-492,Para de Minas,814.830.282-08,03/10/1965,martinthomasassuncao__martinthomasassuncao@agenciadbd.com,Rua Vicentina Maria de Almeida,MG,54,Bruna Camila ,Martin Thomas Assuncao,588,Libra,A-,
373,Boa Vista,57303-217,Arapiraca,138.586.560-11,25/09/1941,osvaldoruannovaes__osvaldoruannovaes@lajescobre.com,Rua Maria Ieda de Almeida Barbosa Fernandes,AL,78,Rosangela Gabriela Sara ,Osvaldo Ruan Novaes,337,Libra,B-,
374,Jorge Lavocat,69922-010,Rio Branco,578.439.207-73,12/03/1997,beneditomanoelviniciusfernandes..beneditomanoelviniciusfernandes@runup.com.br,Rua Bela Vista,AC,22,Amanda Marlene ,Benedito Manoel Vinicius Fernandes,117,Peixes,B+,
375,Jatiuca,57036-150,Maceio,158.449.927-33,13/07/1970,aanthonybentojoaquimmelo@terapeutaholistica.com.br,Rua Doutor Procopio Junior,AL,49,Betina Adriana ,Anthony Bento Joaquim Melo,502,Cancer,A+,
376,Marajoara,78138-133,Varzea Grande,530.247.337-28,23/12/1958,viniciusbryanlopes..viniciusbryanlopes@consorciogastau.com.br,Travessa do Lira,MT,61,Maria Tereza Carolina ,Vinicius Bryan Lopes,795,Capricornio,B-,
377,Potengi,59124-740,Natal,067.290.947-29,27/12/1999,martinmatheusnascimento-72@apso.org.br,Rua Caetite,RN,20,Sarah Milena Heloisa ,Martin Matheus Nascimento,775,Capricornio,AB+,
378,Castanheira,76811-486,Porto Velho,879.537.332-26,11/04/1995,sebastiaoryanlopes__sebastiaoryanlopes@openlink.com.br,Rua Baoba,RO,24,Heloisa Aurora Gabrielly ,Sebastiao Ryan Lopes,404,Aries,A-,
379,Caixa D'Agua,53210-010,Olinda,694.591.685-58,09/07/1998,enricocarlosgustavorodrigues-92@salvagninigroup.com,Rua Barao de Steple,PE,21,Eduarda Malu ,Enrico Carlos Gustavo Rodrigues,861,Cancer,AB+,
380,Lagoa,76812-006,Porto Velho,885.601.053-44,18/07/1949,noahkevinjorgemelo-95@advogadosempresariais.com.br,Rua Pirarara,RO,70,Ana Mirella Isabel ,Noah Kevin Jorge Melo,524,Cancer,B-,
381,Presidente Costa e Silva,59625-721,Mossoro,666.331.880-21,03/11/2000,rraulmiguelryannunes@deltaturismo.com.br,Rua Aldo Florencio Bezerra,RN,19,Daniela Antonia ,Raul Miguel Ryan Nunes,297,Escorpiao,AB-,
382,Ponta D'Areia,65077-570,Sao Luis,466.024.688-47,18/03/1941,giovannipedrohenriqueclaudiodacunha__giovannipedrohenriqueclaudiodacunha@directnet.com,Rua Sete,MA,78,Melissa Elisa Eliane ,Giovanni Pedro Henrique Claudio da Cunha,454,Peixes,A+,
383,Jardim Santa Isabel (Botujuru),13238-414,Campo Limpo Paulista,173.822.438-42,18/03/1947,ruanfelipesouza__ruanfelipesouza@facilitycom.com.br,Rua Visconde de Porto Seguro,SP,72,Sandra Marina ,Ruan Felipe Souza,994,Peixes,AB-,
384,Centro,95538-972,Itati,364.770.500-48,15/02/1999,severinoarthurpaulodrumond-89@bool.com.br,Rua Nestor Becker 2781,RS,20,Nair Laura Sara ,Severino Arthur Paulo Drumond,651,Aquario,AB-,
385,Jardim Industriario II,78098-690,Cuiaba,686.372.744-71,23/07/1969,rraulkaiquedarosa@gineco.med.br,Rua Um,MT,50,Josefa Isabelle Benedita ,Raul Kaique da Rosa,528,Leao,B-,
386,Loteamento Joafra,69919-368,Rio Branco,471.692.871-37,14/09/1953,beniciomarcosviniciusbarros-71@vetech.vet.br,Rua Projetada 892,AC,66,Marli Debora ,Benicio Marcos Vinicius Barros,727,Virgem,B+,
387,Jardim Renascer,87708-373,Paranavai,512.898.526-18,24/01/1954,arthursergiofrancisconogueira..arthursergiofrancisconogueira@ticem.com.br,Rua Joao Gomes de Oliveira,PR,65,Tatiane Allana ,Arthur Sergio Francisco Nogueira,157,Aquario,A+,
388,Central,68900-917,Macapa,966.493.523-90,16/11/1975,isaacmiguelcauamartins..isaacmiguelcauamartins@bcconsult.com.br,Rua Candido Mendes 1404,AP,44,Antonia Evelyn Aurora ,Isaac Miguel Caua Martins,977,Escorpiao,B-,
389,Muruci (Fazendinha),68911-450,Macapa,688.668.038-20,21/01/1967,oliverdiogomarioassuncao_@ugeda.com.br,Rua da Marinha,AP,52,Kamilly Aline ,Oliver Diogo Mario Assuncao,442,Aquario,AB-,
390,Santa Paula,84181-010,Castro,148.998.794-07,20/01/1965,ricardohenriquefreitas__ricardohenriquefreitas@oralcamp.com.br,Rua Pedro Dallarmi,PR,54,Alana Mariane Maria ,Ricardo Henrique Freitas,661,Capricornio,O-,
391,Nova Colatina,29196-327,Aracruz,976.229.182-45,11/06/1955,mariomarcosviniciuslima_@onvale.com,Rua Cristina Lecchi Favalessa,ES,64,Manuela Carla ,Mario Marcos Vinicius Lima,590,Gemeos,O+,
392,Jardim Penfico,79077-002,Campo Grande,782.467.545-99,15/04/1962,diegokevinoliveira-86@hotmail,Rua Barnabe Onofrio da Silva,MS,57,Julia Fatima ,Diego Kevin Oliveira,315,Aries,A-,
393,Estacio,20260-970,Rio de Janeiro,275.678.158-42,04/10/1956,ttheodaviotaviodacosta@quarttus.com.br,Rua Haddock Lobo 9,RJ,63,Natalia Fatima Eduarda ,Theo Davi Otavio da Costa,927,Libra,A-,
394,Vila Valqueire,21321-340,Rio de Janeiro,067.050.325-88,02/03/1979,matheusfelipeosvaldomoura..matheusfelipeosvaldomoura@tilapiareal.com.br,Rua Antonio Carlos Paranhos,RJ,40,Claudia Maya Lais ,Matheus Felipe Osvaldo Moura,675,Peixes,A-,
395,Cidade Nova,59072-645,Natal,420.465.097-06,22/08/1970,antoniomatheussebastiaofreitas-96@fcacomputers.com.br,Avenida Abreu e Lima,RN,49,Livia Nair ,Antonio Matheus Sebastiao Freitas,564,Leao,B+,
396,Vale Encantado,29113-070,Vila Velha,492.669.151-57,27/11/1996,ccesarlevithomasbernardes@lubeka.com.br,Avenida Aguia Branca,ES,23,Tatiane Fernanda Marcia ,Cesar Levi Thomas Bernardes,944,Sagitario,B-,
397,Sitios de Recreio Caraibas,74692-365,Goiania,747.642.536-74,06/07/1974,tomasluizsergioassuncao__tomasluizsergioassuncao@ferplast.com.br,Rua Angelin,GO,45,Benedita Lara Clarice ,Tomas Luiz Sergio Assuncao,316,Cancer,AB+,
398,Conjunto Rui Lino,69919-832,Rio Branco,623.799.127-18,14/11/1973,marciopedrocampos..marciopedrocampos@arbitral.com,Rua L,AC,46,Jennifer Betina Isabelly ,Marcio Pedro Campos,985,Escorpiao,B+,
399,Bugio,49090-000,Aracaju,909.855.191-26,06/09/1989,iigorbryanfogaca@leonardopereira.com,Avenida Poco do Mero,SE,30,Aline Stella Lavinia ,Igor Bryan Fogaca,342,Virgem,O-,
400,Angelim,64041-412,Teresina,335.132.329-85,09/03/1947,yagobernardobernardes..yagobernardobernardes@lphbrasil.com.br,Rua Trinta e Dois,PI,72,Alessandra Catarina Sonia ,Yago Bernardo Bernardes,520,Peixes,O+,
401,Santo Agostinho,14401-387,Franca,855.560.442-79,18/03/1991,bernardoruanandersonmonteiro-97@redacaofinal.com.br,Rua Territorio de Roraima,SP,28,Lara Gabrielly ,Bernardo Ruan Anderson Monteiro,840,Peixes,AB-,
402,Porto da Madeira,52130-343,Recife,878.475.604-70,18/09/1944,matheusbenjaminbarros__matheusbenjaminbarros@mtic.net.br,1a Travessa Doutor Trindade Henrique,PE,75,Aurora Emilly Eliane ,Matheus Benjamin Barros,981,Virgem,O-,
403,Adalberto Aragao,69901-168,Rio Branco,089.618.197-98,10/06/1976,gabrielthomaspires__gabrielthomaspires@powerblade.com.br,Travessa Sena Madureira,AC,43,Jennifer Alessandra ,Gabriel Thomas Pires,956,Gemeos,A-,
404,Gloria,29122-450,Vila Velha,578.902.877-20,06/01/1972,filipecauaoliverrezende__filipecauaoliverrezende@yahoo.ie,Rua Tiradentes,ES,47,Priscila Sebastiana Rosangela ,Filipe Caua Oliver Rezende,732,Capricornio,AB-,
405,Granjas Primavera (Justinopolis),33940-100,Ribeirao das Neves,157.173.679-45,15/05/1968,osvaldojuanfarias__osvaldojuanfarias@bwmtrade.com,Rua Serra Negra,MG,51,Maria Bianca Louise ,Osvaldo Juan Farias,271,Touro,AB+,
406,Socorro,54150-631,Jaboatao dos Guararapes,782.642.124-17,05/05/1995,bernardoenzoalves_@qmagico.com.br,Rua do Riacho,PE,24,Nair Marlene Evelyn ,Bernardo Enzo Alves,518,Touro,B-,
407,Samambaia Norte (Samambaia),72331-548,Brasilia,896.861.075-41,09/01/1986,jorgekauecarlosdacosta-78@vectrausinagem.com.br,Quadra QS 607 Conjunto H,DF,33,Luciana Priscila ,Jorge Kaue Carlos da Costa,357,Capricornio,A+,
408,Balneario de Carapebus,29164-833,Serra,830.489.671-09,27/01/1975,kaiquerenanribeiro..kaiquerenanribeiro@india.com,Rua da Jaqueira,ES,44,Francisca Elza Emilly ,Kaique Renan Ribeiro,873,Aquario,B-,
409,Cidade Nova,20210-052,Rio de Janeiro,916.679.773-00,20/03/1972,robertohenrymarciodaconceicao_@coeducar.com.br,Rua Carmo Neto,RJ,47,Eliane Milena Nicole ,Roberto Henry Marcio da Conceicao,689,Peixes,O+,
410,Aeroclube,58036-630,Joao Pessoa,489.613.300-55,27/05/1992,joseenzoricardorodrigues..joseenzoricardorodrigues@hospitalprovisao.org.br,Rua Luzia Simoes Bertolini,PB,27,Brenda Laura ,Jose Enzo Ricardo Rodrigues,744,Gemeos,B-,
411,Aeroporto,59607-207,Mossoro,978.766.538-80,05/11/1993,ryannathandaconceicao-76@caesarbusiness.com.br,Rua Jose Ribamar da Silva,RN,26,Liz Lorena ,Ryan Nathan da Conceicao,558,Escorpiao,AB-,
412,Jardim das Oliveiras,79630-140,Tres Lagoas,073.276.566-85,14/05/1947,anthonyvitorsamuelfernandes-92@pontofinalcafe.com.br,Rua Santa Rita,MS,72,Marlene Adriana ,Anthony Vitor Samuel Fernandes,713,Touro,A-,
413,Pajucara,59131-130,Natal,286.362.300-12,10/08/1967,ccesarluisruancavalcanti@capua.com.br,Rua Vitoria de Mearim,RN,52,Yasmin Ayla ,Cesar Luis Ruan Cavalcanti,812,Leao,O-,
414,Bom Pastor,26113-250,Belford Roxo,183.600.723-02,17/02/1953,andrebrunocarvalho__andrebrunocarvalho@life.com,Rua Tucum,RJ,66,Julia Lucia ,Andre Bruno Carvalho,925,Aquario,AB-,
415,Jardim Sao Paulo II,85856-310,Foz do Iguacu,421.808.933-70,18/05/1996,brunodanilobernardogalvao..brunodanilobernardogalvao@veloxmail.com.br,Rua Edmundo de Barros,PR,23,Carolina Livia ,Bruno Danilo Bernardo Galvao,704,Touro,O+,
416,Cruzeiro,58415-493,Campina Grande,721.629.596-07,03/05/1957,josedanielmarciomonteiro__josedanielmarciomonteiro@flir.com.br,Rua Maria Pereira Brandao,PB,62,Vera Josefa ,Jose Daniel Marcio Monteiro,759,Touro,AB+,
417,Loteamento Novo Horizonte,69921-122,Rio Branco,578.009.985-50,01/07/1996,juandanielbernardes-82@aiesec.net,Avenida Cerejeira,AC,23,Leticia Andrea ,Juan Daniel Bernardes,582,Cancer,O+,
418,Centro,64764-970,Nova Santa Rita,959.248.454-60,24/08/1994,enricoluancaldeira-71@directnet.com,Avenida Valdir Leite 378,PI,25,Sueli Isadora Priscila ,Enrico Luan Caldeira,967,Virgem,B-,
419,Piratininga,24350-304,Niteroi,354.150.281-96,11/08/1981,aantoniosamuelfogaca@vcp.com.br,Rua Saturno,RJ,38,Lavinia Heloise ,Antonio Samuel Fogaca,613,Leao,B-,
420,Jardim Janaina,88162-225,Biguacu,128.434.777-00,21/02/1942,luccamanoelrocha__luccamanoelrocha@sabereler.com.br,Rua Davito Fernandes Gorges,SC,77,Luciana Alicia ,Lucca Manoel Rocha,376,Peixes,A+,
421,Chacara Boa Vista da Graminha,13482-501,Limeira,889.955.060-32,13/08/1996,pedrojosegeraldodrumond_@queirozgalvao.com,Rua Ester Del Grande Nicoletto,SP,23,Vera Maria Adriana ,Pedro Jose Geraldo Drumond,155,Leao,B-,
422,Morros,64062-050,Teresina,201.812.409-98,13/01/1947,fernandoosvaldodacruz_@w3ag.com,Avenida Professor Felismino Weser,PI,72,Isabela Luzia Mariana ,Fernando Osvaldo da Cruz,823,Capricornio,O-,
423,Joao XXIII,60525-644,Fortaleza,472.876.555-51,23/03/1971,geraldoarthurbrito-88@santosferreira.abv.br,Rua Romulo Bezerra,CE,48,Sophia Lais Helena ,Geraldo Arthur Brito,702,Aries,A+,
424,Petropolis,59020-250,Natal,939.449.006-00,23/08/1972,martinsebastiaonoahnovaes..martinsebastiaonoahnovaes@kantoferramentaria.com.br,Rua Mipibu,RN,47,Priscila Esther ,Martin Sebastiao Noah Novaes,659,Virgem,B-,
425,Saudade I,68741-075,Castanhal,984.182.783-23,26/11/1949,bernardobeneditovitorbarbosa_@mirabeau.art.br,Alameda Seis,PA,70,Allana Nina Clara ,Bernardo Benedito Vitor Barbosa,742,Sagitario,B-,
426,17 de Marco,49003-178,Aracaju,340.757.962-48,24/06/1985,eerickdiogotomasgoncalves@chavao.com.br,Acesso Trinta,SE,34,Josefa Antonia Ana ,Erick Diogo Tomas Goncalves,497,Cancer,AB+,
427,Fonte Boa,68742-866,Castanhal,200.454.973-46,18/06/1997,gguilhermeenzomartins@inbox.com,Rua C,PA,22,Aurora Patricia Silvana ,Guilherme Enzo Martins,198,Gemeos,A+,
428,Candelaria,59064-570,Natal,721.868.938-86,19/07/1965,mmatheusluizjoaonascimento@construtorastaizabel.com.br,Rua Ataulfo Alves,RN,54,Marcia Alice Adriana ,Matheus Luiz Joao Nascimento,443,Cancer,A-,
429,Bandeirantes,32240-320,Contagem,818.123.891-59,03/08/1960,paulobrenomelo_@rabelloadvogados.com.br,Rua Tiete,MG,59,Sebastiana Alicia Catarina ,Paulo Breno Melo,393,Leao,A-,
430,Luzia,49048-350,Aracaju,738.199.297-38,13/11/1965,thiagojuliokevinfogaca_@poli.ufrj.br,Rua Silvio Fontes,SE,54,Isis Melissa Adriana ,Thiago Julio Kevin Fogaca,895,Escorpiao,A-,
431,Conselheiro Paulino,28633-970,Nova Friburgo,021.369.373-91,12/08/1939,olivernelsonthalescardoso..olivernelsonthalescardoso@anac.gov.br,Rua Jose de Queiroz 65 Loja D,RJ,80,Nair Kamilly Betina ,Oliver Nelson Thales Cardoso,220,Leao,B-,
432,Japiim,69077-011,Manaus,460.538.605-06,16/01/1964,tthiagoianbrenomendes@unitau.com.br,Estrada Japiim,AM,55,Catarina Rayssa Julia ,Thiago Ian Breno Mendes,697,Capricornio,B+,
433,Candeal,40296-680,Salvador,791.250.314-57,20/09/1944,viniciusnelsoncalebdossantos__viniciusnelsoncalebdossantos@capua.com.br,Travessa Santo Heladio,BA,75,Joana Marcia Emilly ,Vinicius Nelson Caleb dos Santos,295,Virgem,O+,
434,Liberdade,40375-017,Salvador,659.098.674-66,15/09/1950,bbenicioguilhermeandreduarte@lbrazil.com.br,Estrada da Liberdade,BA,69,Juliana Bruna ,Benicio Guilherme Andre Duarte,665,Virgem,AB-,
435,Iraja,21361-460,Rio de Janeiro,392.662.713-14,10/01/1997,levioliverpires_@statusseguros.com.br,Rua Siracusa,RJ,22,Isis Nair ,Levi Oliver Pires,962,Capricornio,B-,
436,Treze de Setembro,69308-320,Boa Vista,385.854.462-00,10/06/1943,lluisyurioliveira@agaxtur.com.br,Rua Quelcoene,RR,76,Fatima Sebastiana ,Luis Yuri Oliveira,644,Gemeos,B+,
437,Ancora,28899-437,Rio das Ostras,810.791.597-62,24/01/1967,miguelmartinmoreira_@demasi.com.br,Rua dos Cravos,RJ,52,Adriana Antonia ,Miguel Martin Moreira,483,Aquario,O-,
438,Vila Penteado,02864-040,Sao Paulo,757.022.731-09,07/06/1955,gustavomatheusfernandorocha__gustavomatheusfernandorocha@tglaw.com.br,Rua Botafogo,SP,64,Marli Fatima ,Gustavo Matheus Fernando Rocha,978,Gemeos,B+,
439,Residencial Joao Alberto,65047-848,Sao Luis,830.527.904-98,13/12/1977,hugodanilojoaquimteixeira-74@europamotors.com.br,Rua Daniel Dias,MA,42,Luana Esther ,Hugo Danilo Joaquim Teixeira,399,Sagitario,O+,
440,Cidade Nova,64016-470,Teresina,492.378.161-03,20/01/2000,aanthonyraulclaudiofernandes@operaconstrutora.com.br,Rua Joca Broxado,PI,19,Kamilly Aparecida Gabrielly ,Anthony Raul Claudio Fernandes,858,Capricornio,A-,
441,Jardim Aeroporto,79090-320,Campo Grande,473.480.499-07,25/11/1946,raulbrunogeraldoferreira-86@parkhotel.com.br,Praca Faria Lima,MS,73,Joana Maya ,Raul Bruno Geraldo Ferreira,437,Sagitario,AB+,
442,COHAPAM,65055-311,Sao Luis,942.585.895-00,11/04/1984,lluisjosekauealmada@greenbikeshop.com.br,Rua 31 de Dezembro,MA,35,Julia Sueli Clara ,Luis Jose Kaue Almada,687,Aries,O+,
443,Cruzeiro,58415-380,Campina Grande,101.152.374-45,11/02/1962,eduardobrunoluisbrito..eduardobrunoluisbrito@dafitex.com.br,2a Travessa Augusto Borborema,PB,57,Natalia Mariana ,Eduardo Bruno Luis Brito,229,Aquario,O+,
444,Jardim Paulista,78700-760,Rondonopolis,450.280.709-54,06/01/1947,mateusleandroaraujo-91@mastria.com.br,Rua Oswaldo Correia,MT,72,Clarice Caroline Sonia ,Mateus Leandro Araujo,843,Capricornio,O+,
445,Vila Norte,77825-784,Araguaina,731.728.139-59,15/03/1957,carlosyagosales__carlosyagosales@andrade.com,Rua Santo Monte,TO,62,Clarice Cecilia ,Carlos Yago Sales,169,Peixes,B-,
446,Bom Principio,94070-210,Gravatai,926.924.760-00,27/05/1940,leonardoleviaragao_@gaviola.com,Rua Corcovado,RS,79,Sabrina Regina Isabella ,Leonardo Levi Aragao,423,Gemeos,A+,
447,Loteamento Santa Laura,78730-726,Rondonopolis,489.576.934-83,13/01/1949,henrybrunorodrigogalvao-78@msaengenharia.com.br,Rua Gentil Dalla Vechia,MT,70,Ana Eliane ,Henry Bruno Rodrigo Galvao,416,Capricornio,A+,
448,Bom Jesus,88503-400,Lages,471.176.886-61,07/08/1982,noahvicenteraulsilveira..noahvicenteraulsilveira@isometro.com.br,Avenida Belisario Ramos,SC,37,Stefany Catarina ,Noah Vicente Raul Silveira,522,Leao,AB+,
449,Sa Viana,65080-020,Sao Luis,520.294.350-40,06/02/1960,hugofernandopedrorezende__hugofernandopedrorezende@gerj.com.br,Rua Aquiles Lisboa,MA,59,Natalia Leticia Vanessa ,Hugo Fernando Pedro Rezende,833,Aquario,AB+,
450,Samambaia Norte (Samambaia),72320-025,Brasilia,429.956.685-84,04/05/1971,arthurrenancampos..arthurrenancampos@henrimar.com.br,Quadra QR 410 Conjunto 22,DF,48,Lais Luzia ,Arthur Renan Campos,995,Touro,O+,
451,Distrito Industrial Jardim Piemont Sul,32669-722,Betim,333.568.094-40,15/12/1992,heitorgeraldoisaacbernardes_@opcaoeduca.com.br,Rua Moacyr Goncalves Costa,MG,27,Emanuelly Clarice ,Heitor Geraldo Isaac Bernardes,495,Sagitario,AB+,
452,Maria Rezende,38401-841,Uberlandia,847.432.173-50,03/04/1958,pietrofernandoduarte-78@poolrescue.com.br,Rua Irene Cunha de Almeida,MG,61,Analu Larissa ,Pietro Fernando Duarte,973,Aries,A-,
453,Petropolis,57062-589,Maceio,427.343.016-95,06/11/1985,eduardonathanheitorsales-86@lucaslima.com,Rua C,AL,34,Emily Analu Tereza ,Eduardo Nathan Heitor Sales,883,Escorpiao,O+,
454,Jardim Almeida Prado,04854-170,Sao Paulo,102.988.332-71,03/12/1981,eeliaspedrotomaspires@fpsgeodata.com.br,Rua Marco Aurelio Marliani,SP,38,Laura Antonella ,Elias Pedro Tomas Pires,428,Sagitario,A+,
455,Santo Antonio,64032-520,Teresina,662.215.136-93,04/05/1940,gustavokaueosvaldosilveira..gustavokaueosvaldosilveira@acaoi.com.br,Rua Teresa Martins,PI,79,Olivia Benedita ,Gustavo Kaue Osvaldo Silveira,162,Touro,AB+,
456,Residencial Ecopark,18280-475,Tatui,926.656.274-26,03/05/1989,rrenanvicentethomasdaluz@w3ag.com,Rua Lourenco Bueno da Silva,SP,30,Adriana Maya Luiza ,Renan Vicente Thomas da Luz,486,Touro,A+,
457,Jardim Seminario,79118-580,Campo Grande,390.371.546-89,12/11/1974,sseverinoruancalebsilva@ciroconsultoria.com.br,Rua Sao Tomas de Aquino,MS,45,Juliana Jennifer ,Severino Ruan Caleb Silva,277,Escorpiao,A+,
458,Centro,63100-030,Crato,081.783.955-09,10/11/1943,andersongustavodrumond..andersongustavodrumond@brunofaria.com,Rua Monsenhor Soter,CE,76,Vitoria Catarina Raimunda ,Anderson Gustavo Drumond,178,Escorpiao,AB+,
459,Centro,76801-103,Porto Velho,227.774.367-46,01/08/1985,davinelsoncaldeira-70@muvacademia.com.br,Rua Dom Pedro II,RO,34,Marina Fatima ,Davi Nelson Caldeira,572,Leao,O+,
460,Tatuquara,81470-130,Curitiba,302.706.239-57,03/07/1980,augustobrunodarosa_@proshock.com.br,Travessa Wilmar Sauner,PR,39,Aurora Luna ,Augusto Bruno da Rosa,856,Cancer,A+,
461,Archimedes Naspolini,88810-700,Criciuma,715.718.151-71,12/08/1985,samuelrobertotiagoalves..samuelrobertotiagoalves@trbvm.com,Rua Maria Regina Naspolini Dal Pont,SC,34,Tatiane Maria Luciana ,Samuel Roberto Tiago Alves,233,Leao,AB-,
462,Vale Verde,36032-006,Juiz de Fora,095.450.063-66,15/12/1965,eeliaspedrogeraldorezende@bb.com.br,Rua do Vale,MG,54,Isis Isabel Elaine ,Elias Pedro Geraldo Rezende,820,Sagitario,AB+,
463,Parque Presidente II,85863-690,Foz do Iguacu,048.799.101-04,25/05/1949,hhenriqueeliasviana@velc.com.br,Rua Joao Ayres de Aguirra,PR,70,Beatriz Antonella Giovana ,Henrique Elias Viana,216,Gemeos,A+,
464,Cascalheira,76813-108,Porto Velho,724.394.945-26,18/12/1965,marciootaviokevindarosa__marciootaviokevindarosa@localiza.com,Rua Itatiaia,RO,54,Regina Marcia ,Marcio Otavio Kevin da Rosa,201,Sagitario,B-,
